"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Locality","Highlights","Description","Posted By"
"Ready to move Office Space for sale in Mayur Vihar Phase 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mayur-vihar-phase-2-east-delhi-2300-sq-ft-r4-spid-L73453471","70000000","30434","2300","Office Space","Mayur Vihar Phase 2, Delhi, East Delhi","","Check out this ready to move office space for sale in mayur vihar phase 2, east delhi. It comes under the commercial zone. The carpet area of the property is 2300 sq.Ft. This commercial property accommodates 1 cabin. It is equipped with 1 staircases. It has public parking. The building is ready to move and is aged 10 years. The ready to move office is available on freehold ownership and is pric...","Guru Ji Associates"
"Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-47-sq-ft-spid-U83160320","9400000","200000","42","Shop","Omaxe Chandni Chowk, Chandni Chowk, Delhi","29.99% ROI, 504000 Rental Income","You can find this commercial shop for sale in chandni chowk, central delhi. This spacious property has a carpet area of 42 sq.Ft. It is located in the market/high street. The property has public washrooms and public, private, multilevel parking. The shop dimensions are 10.0 sq.Ft. X 14.0 sq.Ft. The shop is ready to move. The shop is aged 0-1 year. The property can be used for bakery, cloud kitc...","INTELLECTUAL ADVANCE SERVICES INFRA"
"Shop for sale in Block J, Saket, Delhi","https://www.99acres.com/shop-for-sale-in-block-j-saket-south-delhi-398-sq-ft-spid-W84161490","70000000","175762","398","Shop","Block J, Saket, Delhi, South Delhi","Recently Renovated, Fitness Center/ Gym","Ready to move retail shop available in a prime location with excellent visibility and high footfall. Perfect for setting up any retail business with immediate possession. Well-Connected area ensures steady customer flow and great business potential. An ideal choice for investors and business owners alike.","CRES-CONCRETE REAL ESTATE SOLUTIONS PRIVATE"
"Ready to move Office Space for sale in Mohan Co-operative Industrial Estate, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-36000-sq-ft-spid-F84093802","320000000","12800","25000","Office Space","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Power Back-up","Prime commercial property available for sale at a prime location, offering excellent visibility and connectivity. A great investment opportunity at a competitive price.","CRES-CONCRETE REAL ESTATE SOLUTIONS PRIVATE"
"Ready to move Office Space for sale in S Block Greater Kailash I, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-s-block-greater-kailash-1-south-delhi-1872-sq-ft-spid-N84107866","12500000","8333","1500","Office Space","S Block Greater Kailash I, Delhi, South Delhi","50000 Rental Income","A well-Designed and spacious ready to move office in s block greater kailash i, south delhi is available for sale. The super built up area is 1872 sq.Ft. This commercial space is in the commercial zone. It can accommodate a minimum of 10 seats. Additionally, it has 1 cabin and adorns 1 meeting room. The ready to move office has 2 private bathrooms and 1 shared bathroom. For those looking for me...","HR Associates"
"Shop for sale in Tughlakabad Extension, Delhi","https://www.99acres.com/shop-for-sale-in-tughlakabad-extension-south-delhi-325-sq-ft-spid-Y84060860","7000000","25454","275","Shop","Tughlakabad Extension, Delhi, South Delhi","North Facing, Market location lower ground floor raw space","","HR Associates"
"Showroom for sale in Malviya Nagar, Delhi","https://www.99acres.com/showroom-for-sale-in-malviya-nagar-south-delhi-900-sq-ft-spid-D82963624","65000000","72222","900","Showroom","Malviya Nagar, Delhi, South Delhi","250000 Rental Income, Recently Renovated","Fully commercial 100 sq yards property for outright sale in malviya nagar main market. Super prime location property in main market. Suits retail outlets, showrooms etc. Ample parking spaces.","MIGPOINT SERVICES"
"Ready to move Office Space for sale in Saket, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-saket-south-delhi-1611-sq-ft-spid-B82810466","160000000","99317","1611","Office Space","Saket, Delhi, South Delhi","1.0% ROI, 1 Rental Income","Pre-Rented office space available for sale in pushp vihar, saket, 1611 sq.Ft., basement, ground floor, 1st floor; 2nd floor, on wide road, north facing, prime location.","Buniyad Real Estate Services"
"Showroom for sale in Block JD Dakshini Pitampura, Delhi","https://www.99acres.com/showroom-for-sale-in-block-jd-dakshini-pitampura-north-delhi-220-sq-ft-spid-B84085632","27500000","125000","220","Showroom","Block JD Dakshini Pitampura, Delhi, North Delhi","3.54% ROI, 82000 Rental Income","Commercial shop for sale in the heart of pitampura jd block Prime location with excellent visibility, facing a 100 ft wide main road. Located in the highly sought-After jd block of pitampura, this commercial shop offers heavy footfall and easy accessibility. Ideal for retail outlets, offices, clinics, or investment purposes. Surrounded by residential societies, banks, and popular brands. Freeho...","Ranisati Group"
"Industrial land / Plot for sale in Mayapuri Industrial Area Phase 2, Delhi","https://www.99acres.com/industrial-land-plot-for-sale-in-mayapuri-industrial-area-phase-2-west-delhi-100-sq-yard-r1-spid-L81370345","40000000","44444","900","Industrial Land","Mayapuri Industrial Area Phase 2, Delhi, West Delhi","120000 Rental Income","Its a 2 side open property With excellent facing. Great property for investment purpose Already property is pre rented","Rana Properties"
"Commercial plot / Land for sale in Babar Road, Delhi","https://www.99acres.com/commercial-institutional-land-for-sale-in-babar-road-central-delhi-957-sq-yard-spid-R83956640","850000000","98709","8611","Commercial Property","Lalit Hotel, babar road","Barakhamba Metro station within 250m, Modern school within 250m","Mixed land used commercial building for sale in babar road, near lalit hotel, barakhamba road, connaught place, central delhi, delhi. Mixed used development building Size - 800 mtr. (957 sq yard) Structure - B+s+4 Total area - 24000 sqft (4000 sqft each floor) Demand - 85cr. Good location, ideal for office used, guest house, retail used + office, etc. Direct connectivity to connaught place, nea...","House of Cowork"
"Bare shell Office Space for sale in Green Park, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-green-park-south-delhi-2800-sq-ft-r1-spid-T81730960","22500000","8035","2100","Office Space","Green Park, Delhi, South Delhi","","A bare shell office space in green park, south delhi is available for sale. It is located in the business park. It comes under in the residential zone. The super built up area is 2800 sq.Ft. The office has brick walls, and has doors. The space has marble flooring with oxygen duct and central air conditioning. With safety measures such as fire extinguisher, the office space is a completely safe ...","Ajay & Associates"
"Manufacturing business for sale in Okhla Phase 2, Delhi","https://www.99acres.com/manufacturing-unit-space-for-sale-in-okhla-phase-2-south-delhi-21600-sq-ft-spid-P83766668","300000000","13889","21600","Factory","Okhla Phase 2, Delhi, South Delhi","North Facing, Rain Water Harvesting","Okhla phase 2 : 2400sqmtr plot with some construction is available in phase 2 okhla. Freehold North facing Clear title. Please contact for more information .","M. S. Associates"
"Ready to move Office Space for sale in Saket District Centre, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-saket-district-centre-south-delhi-2000-sq-ft-r8-spid-K73996397","52000000","43333","1200","Office Space","Saket District Centre, Delhi, South Delhi","Power Back-up","2000sft commercial office space available on sale at the prime and excellent location of saket district centre at ground floor furnished, fully furnished with receiption, cabins, 25 work stations, conference room, meeting room, senior executive cabins, pantry with bathrooms ,100% power back up, centralised ac, lift, exclusive parkings and other ammenities. ,clear title and transferable We have ...","M. S. Associates"
"Showroom for sale in Saket District Centre, Delhi","https://www.99acres.com/showroom-for-sale-in-saket-district-centre-south-delhi-4500-sq-ft-r8-spid-E73997169","185000000","74000","2500","Showroom","Saket District Centre, Delhi, South Delhi","5.19% ROI, 800000 Rental Income","Rented property 4500sft commercial office space available on sale at the prime and excellent location of saket district centre at ground floor ,rent 8 lakh per month plus maintenance , electronic showroom mnc company , pantry with bathrooms ,100% power back up, centralised ac, lift, exclusive parkings and other ammenities. ,clear title and transferable We have both options of bareshell/furnishe...","M. S. Associates"
"Bare shell Office Space for sale in Saket District Centre, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-saket-district-centre-south-delhi-3000-sq-ft-r8-spid-J73996711","70000000","23333","3000","Office Space","Saket District Centre, Delhi, South Delhi","Power Back-up","3000sft commercial office space available on sale at the prime and excellent location of saket district centre at 3rd floor , bare shell can be with receiption, cabins, work stations, conference room, meeting room, senior executive cabins, pantry with bathrooms ,100% power back up, centralised ac, lift, exclusive parkings and other ammenities. ,clear title and transferable We have both options ...","M. S. Associates"
"Bare shell Office Space for sale in Saket District Centre, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-saket-district-centre-south-delhi-1400-sq-ft-r8-spid-G73996597","35000000","25000","1400","Office Space","Saket District Centre, Delhi, South Delhi","Power Back-up","1400sft commercial office space available on sale at the prime and excellent location of saket district centre at 3rd floor , bareshell can be with receiption, cabins, work stations, conference room, meeting room, senior executive cabins, pantry with bathrooms ,100% power back up, centralised ac, lift, exclusive parkings and other ammenities. ,clear title and transferable We have both options o...","M. S. Associates"
"Ready to move Office Space for sale in Okhla Phase 3, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-55000-sq-ft-r13-spid-V68569546","1200000000","21818","55000","Office Space","Okhla Phase 3, Delhi, South Delhi","3.8% ROI, 3800000 Rental Income","Rented property : Available on sale at the prime location of okhla estate or okhla phase 3,,having basement to 3rd floor , rented to multinational companies. Furnished with multiple cabins, executive cabins,work dstations, 650 kva load, lots of please contact with buyers profile only. Cleartitle, tranferrable, freehold, new lease.","M. S. Associates"
"Manufacturing business for sale in Okhla Phase 2, Delhi","https://www.99acres.com/manufacturing-unit-space-for-sale-in-okhla-phase-2-south-delhi-5850-sq-ft-r2-spid-C80707985","125000000","21367","5850","Factory","Okhla Phase 2, Delhi, South Delhi","4.8% ROI, 500000 Rental Income","Okhla phase 2 ,an industrial corner building rented is available on prime and the best location of okhla phase2,having 25000 sft build basement to 2nd floor 100% vaastu perfect, reasonable price,,transferable ,clear title kota and granite flooring, bathrooms well build up , wide road please contact for more details.","M. S. Associates"
"Factory for sale in Okhla Phase 1, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-10800-sq-ft-r2-spid-Y80707773","320000000","29630","10800","Factory","Okhla Phase 1, Delhi, South Delhi","Recently Renovated, Stone Flooring","Okhla phase 1 :An industrial building available on mainroad on sale at the prime and exclusive location of in okhla phase i on main and 80' road with service lane , commercial property on commercial road as per govt. Law,basement to 2nd floor ,25000 sft build up, lift, kota and tiles flooring , faade, clear title,car parking, transferable,freehold property.Suitable for for banks, hotels, indust...","M. S. Associates"
"Manufacturing business for sale in Okhla Phase 1, Delhi","https://www.99acres.com/manufacturing-unit-space-for-sale-in-okhla-phase-1-south-delhi-2160-sq-ft-r2-spid-Q80690927","62500000","28935","2160","Factory","Okhla Phase 1, Delhi, South Delhi","North Facing, Stone Flooring","Okhla phase one 240y independent plot + 7000 sft build up area available on sale at the prime location of okhla phase 1 basement to 1st floor with clear title and freehold property as per vastu freehold registry wide road .Please contact for more details and more options in okhla phase 1 and 2 and 3","M. S. Associates"
"Ready to move Office Space for sale in Pocket B, Sector 13 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pocket-b-sector-13-dwarka-dwarka-delhi-3600-sq-ft-r1-spid-G80153049","34000000","11333","3000","Office Space","Pocket B, Sector 13 Dwarka","","Beautiful luxury furnished office space in basement freehold avialable for sale in located sec-13 dwarka. Near secot 13 metor station only 5 minutes from walking distance.","Times Associates"
"Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-70-sq-ft-r7-spid-F74541593","10000000","158730","63","Shop","Chandni Chowk, Delhi","East Facing, Close to Metro Station","Omaxe chandni chowk is a prime commercial property located in the heart of chandni chowk, one of delhi's most iconic and bustling market areas. Offering a blend of traditional charm and modern amenities, this commercial space is designed to cater to the diverse needs of businesses, retailers, and shoppers alike.","TrueAsset Consultancy"
"Ready to move Office Space for sale in Nehru Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-parkwood-hemkunt-chambers-nehru-place-south-delhi-102-sq-ft-r2-spid-Z79211097","2000000","20000","100","Office Space","Nehru Place, Delhi","NEHRU PLACE METRO STATION Nearby, SAFDARJUNG HOSPITAL within 2km","Fully furnished office for sale in hemkunt chamber for rs 20 lac","SAI PROPERTIES"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-1800-sq-ft-spid-D81895068","32000000","17778","1800","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Jhilmil metro station Nearby","Ground floor for sale In jhilmil industrial area prime location Many more options available","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-2286-sq-ft-spid-Z83020352","105000000","45932","2286","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Jhilmil metro station Nearby","Industrial building for sale in jhilmil industrial area New construction building prime location property Lift and power connections available east facing property","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-1800-sq-ft-spid-U83021636","95000000","52778","1800","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Jhilmil metro station Nearby","Industrial building for sale in jhilmil industrial area prime location property near gt road near metro station basement ground first second and third floor","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-1800-sq-ft-spid-I83031886","40000000","22222","1800","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Mansarover metro station Nearby","Industrial building for sale in friends colony industrial area prime location property near gt road near metro station near transport bank atm railway station school and hospitals 200 sq yard building basement ground and first floor with roof Power connections available","sharma property"
"Factory for sale in Dilshad Garden, Delhi","https://www.99acres.com/factory-for-sale-in-dilshad-garden-east-delhi-1575-sq-ft-spid-T83032326","12500000","7936","1575","Factory","Dilshad Garden, Delhi, East Delhi","East Facing, Dilshad garden metro station within 250m","Industrial floor for sale in dilshad garden industrial area near gt road near metro station near transport bank atm railway station school and hospitals near petrol pump 175 sq yard 3rd floor with roof right","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-900-sq-ft-spid-A83031794","25000000","27778","900","Factory","Jhilmil Industrial Area, Delhi, East Delhi","4.8% ROI, ₹ 100000 Rental Income","Industrial building for sale in friends colony industrial area prime location property near gt road near metro station near transport bank atm railway station and hospitals 100 sq yard building ground first second and third floor Lift and power connections available","sharma property"
"Coworking Space for sale in Dilshad Garden, Delhi","https://www.99acres.com/coworking-space-for-sale-in-dilshad-garden-east-delhi-1350-sq-ft-spid-K83031146","60000","44","1350","Coworking Space","Dilshad Garden, Delhi, East Delhi","Jhilmil metro station within 250m, Arwachine international Nearby","Office space in dilshad garden near chetak complex near metro hospital schools prime location property 150 sq yard first floor","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-2565-sq-ft-spid-G83022014","25000000","9747","2565","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Jhilmil metro station Nearby","Industrial floor for sale in jhilmil industrial area prime location property near gt road near metro station 3rd floor with lift","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-1350-sq-ft-spid-T83021824","17000000","12593","1350","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Jhilmil Nearby","Industrial floor for sale in jhilmil industrial area prime location property near gt road near metro station industrial first floor with lift and power connections","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-900-sq-ft-spid-H83018844","45000000","50000","900","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Dilshad garden metro Nearby","Industrial building for sale in jhilmil industrial area prime location property near gt road near metro station","sharma property"
"Factory for sale in Jhilmil Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-1935-sq-ft-spid-P81894982","18000000","9302","1935","Factory","Jhilmil Industrial Area, Delhi, East Delhi","East Facing, Jhilmil metro station Nearby","First floor for sale in jhilmil industrial area prime location property Many more options available","sharma property"
"Factory for sale in Dilshad Garden, Delhi","https://www.99acres.com/factory-for-sale-in-dilshad-garden-east-delhi-1845-sq-ft-spid-W81010609","12500000","6775","1845","Factory","Dilshad Garden, Delhi, East Delhi","East Facing, Dilshad garden metro station Nearby","Industrial first floor for sale in dilshad garden industrial area near gt road near metro station","sharma property"
"Factory for sale in Dilshad Garden, Delhi","https://www.99acres.com/factory-for-sale-in-dilshad-garden-east-delhi-2970-sq-ft-spid-V81009157","75000000","25252","2970","Factory","Dilshad Garden, Delhi, East Delhi","East Facing, Dilshad garden metro station Nearby","Industrial factory for rent in dilshad garden industrial area near gt road near metro station prime location property","sharma property"
"Showroom for sale in Paschim Vihar, Delhi","https://www.99acres.com/showroom-for-sale-in-paschim-vihar-west-delhi-1800-sq-ft-spid-H83970574","41000000","30370","1350","Showroom","Paschim Vihar, Delhi, West Delhi","Paschim vihar west Nearby, GD Goenka Nearby","A spacious and well-Designed commercial showroom is available in paschim vihar, west delhi for sale. This space is located in the market/high street. This is one of the economic properties in the neighbourhood. The property has private washrooms and public, private parking. The showroom dimensions are 30.0 sq.Ft. X 10.0 sq.Ft. The building is aged 1-5 years. The property is suitable for clinic,...","Basil Estate"
"Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-2650-sq-ft-r7-spid-H51913812","132500000","50000","2650","Office Space","Connaught Place, Delhi","","Iconic commercial office space for sale in world trade tower, tolstoy road, connaught place, world trade tower is a very prime building in connaught place, well maintained and occupied by very reputed national and international companies.","ESTATE LION"
"Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-7500-sq-ft-r7-spid-N51895354","195000000","26000","7500","Office Space","Connaught Place, Delhi","","Prime commercial office space for sale in gopaldas bhawan, barakhamba road, connaught place, Area is 7500 sq.Ft. Super, office space with all modern facilities,","ESTATE LION"
"Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-1500-sq-ft-r4-spid-J56961566","47500000","36538","1300","Office Space","Connaught Place, Delhi, Central Delhi","Power Back-up","Prime commercial office space for sale in ansal bhawan, kasturba gandhi marg, connaught place, Area is 1500 sq.Ft. Super, fully-Furnished office space with all modern facilities,","ESTATE LION"
"Ready to move Office Space for sale in Barakhamba, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-gopaldas-bhavan-barakhamba-central-delhi-5000-sq-ft-r8-spid-P51895032","195000000","39000","5000","Office Space","Barakhamba, Delhi","","Prime commercial office space for sale in gopaldas bhawan, barakhamba road, connaught place, Area is 7500 sq.Ft. Super, un-Furnished office space with all modern facilities,","ESTATE LION"
"Commercial property in South Extension 2, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-south-extension-2-south-delhi-3500-sq-ft-spid-J83597618","13000000","3714","1450","Commercial Property","South Extension 2, Delhi, South Delhi","South extension Nearby, South extension Nearby","Basement available for sale in a heart of south extension-2 its on wide road","Property connect"
"Ready to move Office Space for sale in Adhchini, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-adchini-south-delhi-3000-sq-ft-r2-spid-J76638403","37500000","12500","3000","Office Space","Adhchini, Delhi, South Delhi","","This exceptional office space in south delhi's prime area offers a generous square footage of 3000 sq ft. Key features include a strategic location with easy access to aurobindo marg, excellent connectivity to metro and public transportation, a lift for convenient access, reserved parking, top-Notch security measures, and centralized air conditioning. Additionally, all neighboring office spaces...","A365 Realtors Private Limited"
"Industrial land / Plot for sale in Pocket B Okhla Phase 1, Delhi","https://www.99acres.com/industrial-land-plot-for-sale-in-pocket-b-okhla-phase-1-south-delhi-400-sq-yard-spid-K83467828","150000000","41667","3600","Industrial Land","Pocket B Okhla Phase 1, Delhi, South Delhi","80 Feet Wide Road Nearby, Rain Water Harvesting","Prime location freehold property with 4 floors glass building on main 80 feet road available for sale. Calon estates is a well-Established real estate company with a strong presence in the delhi ncr region. Our office is conveniently located at dtj24a, ground floor, dlf tower b, jasola, new delhi. We specialize in providing a comprehensive range of real estate solutions, focusing on prime comme...","Calon Estates"
"Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-580-sq-ft-r1-spid-S81644693","17700000","30517","580","Office Space","Connaught Place, Delhi, Central Delhi","₹ 72000 Rental Income, near by Barakhamba road metro Nearby","Office space for sale in connaught place multi story building. Good location good space . More options also available for rent and sale if want please call me.","Dubey Estate Agency"
"Ready to move Office Space for sale in District Centre, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-district-centre-west-delhi-850-sq-ft-r4-spid-F73873329","8000000","10666","750","Office Space","District Centre, Delhi, West Delhi","","A well-Designed and spacious ready to move office in district centre, west delhi is available for sale. The super built up area is 850 sq.Ft. This commercial space is in the commercial zone. It can accommodate a minimum of 6 seats. The space has fire safety measures such as fire extinguisher, sprinklers and fire sensors. The building has 11 floors. It has 2 passenger lifts (Modern) and 2 servic...","Limpid Property Advisors"
"(63 sq.ft.) Shop for sale in Chandni Chowk, Delhi","","10000000","","63","Shop","Chandni Chowk, Delhi","","",""
"(100 sq.ft.) Ready to move Office Space for sale in Nehru Place, Delhi","","2000000","","100","Office Space","Nehru Place, Delhi","","",""
"(1800 sq.ft.) Factory for sale in Jhilmil Industrial Area, Delhi","","32000000","","1800","Factory","Jhilmil Industrial Area, Delhi","","",""
"(2286 sq.ft.) Factory for sale in Jhilmil Industrial Area, Delhi","","105000000","","2286","Factory","Jhilmil Industrial Area, Delhi","","",""
"(1800 sq.ft.) Factory for sale in Jhilmil Industrial Area, Delhi","","95000000","","1800","Factory","Jhilmil Industrial Area, Delhi","","",""
"(1800 sq.ft.) Factory for sale in Jhilmil Industrial Area, Delhi","","40000000","","1800","Factory","Jhilmil Industrial Area, Delhi","","",""
"(1575 sq.ft.) Factory for sale in Dilshad Garden, Delhi","","12500000","","1575","Factory","Dilshad Garden, Delhi","","",""
"(900 sq.ft.) Factory for sale in Jhilmil Industrial Area, Delhi","","25000000","","900","Factory","Jhilmil Industrial Area, Delhi","","",""
"(1350 sq.ft.) Coworking Space for sale in Dilshad Garden, Delhi","","60000","","1350","Coworking Space","Dilshad Garden, Delhi","","",""
"(2565 sq.ft.) Factory for sale in Jhilmil Industrial Area, Delhi","","25000000","","2565","Factory","Jhilmil Industrial Area, Delhi","","",""
"Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-25-sq-ft-spid-W83225600","3750000","150000","24","Shop","Chandni Chowk, Delhi","7.0% ROI","A modern-Day commercial shop in chandni chowk, central delhi is readily available for sale. You can find this commercial property located in the mall. The carpet area of the property is 24 sq.Ft. The property has public washrooms and public, private, multilevel parking. The shop dimensions are 10.0 sq.Ft. X 14.0 sq.Ft. The shop is ready to move and is aged 0-1 year. The property is suitable for...","INTELLECTUAL ADVANCE SERVICES INFRA"
"Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-4500-sq-ft-r2-spid-A77956139","150000000","39473","3800","Office Space","Connaught Place, Delhi, Central Delhi","Close to Metro Station
Close to School
+2","North east facing 4500 sq feet super available for sale in main outer circle main road facing good furnishing and if you go to rental income rs 12 lakh is coming rent is give you. More details please call me.","Dubey Estate Agency"
"Showroom for sale in East of Kailash, Delhi","https://www.99acres.com/showroom-for-sale-in-east-of-kailash-south-delhi-6000-sq-ft-spid-W83882750","150000000","30000","5000","Showroom","East of Kailash, Delhi, South Delhi","North-East Facing
Kailash Colony Metro Nearby
+1","Located in the prime commercial hub of east of kailash, this brand new fully commercial duplex property offers 6000 sq. Ft. Super area and 5000 sq. Ft. Carpet area, spread across the basement and ground floors. Ideal for showroom or office use, this commercial space comes semi-Furnished with 7 acs installed, a private lift, and excellent frontage for visibility. It includes 3 separate covered c...","ARUN PROPERTIES"
