Property_Type,Transaction_Type,Location,latitude,longitude,Price,Area_sqft,Price_per_sqft,area_type,Construction_Status,Age_in_Years,Possession_Date,Furnishing_Status,Zoning,Facing,Overlooking,Pantry,Water_Availability_Status,Washrooms,Floor_Number,Total_Floors,Covered_Parking,Open_Parking,Open_Sides,Plot_Length,Plot_Breadth,Entrance_Width_ft,Road_Width_m
shop,sale,mathura road faridabad,28.3650553,77.314851,4500000.0,218.0,20642.2,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,nh 24 noida,28.5706333,77.3272147,6250000.0,625.0,10000.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,9.0,17.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,udyog nagar block d 2 chanakyapuri new delhi,28.6328027,77.2197713,82500000.0,3825.0,21568.63,Super Area,Ready to Move,17.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,udyog nagar block d 2 chanakyapuri new delhi,28.6328027,77.2197713,100000000.0,4500.0,22222.22,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,udyog nagar block d 2 chanakyapuri new delhi,28.6328027,77.2197713,200000000.0,14400.0,13888.89,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,chandni chowk new delhi,28.6328027,77.2197713,32700000.0,239.0,136820.08,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,noida express way noida,28.5706333,77.3272147,5500000.0,222.0,24774.77,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension greater noida,28.5706333,77.3272147,3500000.0,458.0,7641.92,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,4.0,4.0,15.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,anand vihar new delhi,28.5786334,77.1612059,1500000.0,1080.0,1388.89,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,-1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,anand vihar new delhi,28.5786334,77.1612059,6000000.0,465.0,12903.23,Super Area,Ready to Move,12.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sanjay gandhi transport nagar new delhi,28.6328027,77.2197713,1450000.0,100.0,14500.0,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,netaji subhash place new delhi,28.6328027,77.2197713,7500000.0,225.0,33333.33,Carpet Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,4.0,10.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 1 rama krishna puram new delhi,28.564755,77.1783289,25000000.0,150.0,166666.67,Super Area,Ready to Move,25.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,nangloi new delhi,28.6328027,77.2197713,32500000.0,4050.0,8024.69,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector a1 narela new delhi,28.6328027,77.2197713,4500000.0,450.0,10000.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,3.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida express way noida,28.5706333,77.3272147,18000000.0,286.0,62937.06,Carpet Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,-2.0,2.0,0,0,1.0,40.0,85.0,11.0,24.0
land,sale,kanjhawala new delhi,28.6328027,77.2197713,45000000.0,9000.0,5000.0,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,hiran kudna new delhi,28.6328027,77.2197713,27500000.0,4950.0,5555.56,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
warehouse/ godown,sale,hiran kudna new delhi,28.6328027,77.2197713,140000000.0,21240.0,6591.34,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,bahapur new delhi,28.6328027,77.2197713,11000000.0,868.0,12672.81,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida express way noida,28.5706333,77.3272147,38700000.0,3200.0,12093.75,Super Area,Under Construction,-1.0,Aug '25,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,bahapur new delhi,28.6328027,77.2197713,36000000.0,2500.0,14400.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sri aurobindo marg new delhi,28.6328027,77.2197713,19900000.0,183.0,108743.17,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,safdarjung enclave new delhi,28.56502,77.1925584,3750000.0,750.0,5000.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,-1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,harsh vihar mandoli new delhi,28.6328027,77.2197713,4000000.0,893.0,4479.28,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,mathura road faridabad,28.3650553,77.314851,1500000.0,100.0,15000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,okhla industrial area new delhi,28.6328027,77.2197713,50000000.0,2400.0,20833.33,Super Area,Ready to Move,25.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,haiderpur new delhi,28.7256794,77.1438487,22000000.0,5100.0,4313.73,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 46 gurgaon,28.4359133,77.0584045,172500000.0,4500.0,38333.33,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,South,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,wave city ghaziabad,28.7749966,77.4586967,3200000.0,180.0,17777.78,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,4.0,5.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 93 gurgaon,28.4156048,76.931638,8000000.0,117.0,68376.07,Carpet Area,Under Construction,-1.0,Nov '25,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,nawada new delhi,28.6328027,77.2197713,1800000.0,207.0,8695.65,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 50 gurgaon,28.4166536,77.0611745,10000000.0,925.0,10810.81,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,iti jail road new delhi,28.6328027,77.2197713,28000000.0,700.0,40000.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,nehru nagar 3 ghaziabad,28.7749966,77.4586967,42500000.0,2825.0,15044.25,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,-1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sadar bazaar new delhi,28.6328027,77.2197713,2100000.0,22.0,95454.55,Carpet Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,5.0,0,0,1.0,40.0,85.0,40.0,24.0
industrial building,sale,nh 24 noida,28.5706333,77.3272147,420000000.0,50000.0,8400.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sakipur greater noida,28.5706333,77.3272147,50000000.0,2250.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 5 faridabad,28.3632682,77.3128764,85600000.0,12850.0,6661.48,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
warehouse/ godown,sale,block b shastri nagar new delhi,28.6328027,77.2197713,6000000.0,945.0,6349.21,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,3.0,3.0,0,0,1.0,40.0,85.0,12.0,35.0
industrial building,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,180000000.0,34000.0,5294.12,Super Area,Ready to Move,12.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,45500000.0,9000.0,5055.56,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 114 gurgaon,28.531878,77.0117794,13500000.0,630.0,21428.57,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,7.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,block b sector 56 gurgaon,28.4180637,77.0466052,11000000.0,490.0,22448.98,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,4.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,lajpat nagar 1 new delhi,28.5660768,77.2465152,12500000.0,850.0,14705.88,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,West,Not Specified,Not Specified,NotSpecified,2.0,-1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,bamheta ghaziabad,28.7749966,77.4586967,2300000.0,271.0,8487.08,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,3.0,3.0,10,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida extension greater noida,28.5706333,77.3272147,5400000.0,90.0,60000.0,Carpet Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,4.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,paharganj new delhi,28.6337722,77.216499,100000000.0,2880.0,34722.22,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 63a gurgaon,28.3627664,76.9193261,20000000.0,501.0,39920.16,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,tilak nagar new delhi,28.6440078,77.1033702,16100000.0,120.0,134166.67,Carpet Area,Ready to Move,7.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,120.0,24.0
shop,sale,narela new delhi,28.6328027,77.2197713,7000000.0,450.0,15555.56,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 15 gurgaon,28.3843199,76.9122326,5500000.0,72.0,76388.89,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,malviya nagar new delhi,28.6328027,77.2197713,7500000.0,250.0,30000.0,Carpet Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,10.0,24.0
land,sale,vasant kunj new delhi,28.5292495,77.1541335,999900000.0,468000.0,2136.54,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,ashok nagar new delhi,28.5890885,77.3015085,6500000.0,228.0,28508.77,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,mehrauli gurgaon road gurgaon,28.4657505,77.0393358,14500000.0,697.0,20803.44,Super Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,North,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,eye of noida eon sector 140a noida,28.5706333,77.3272147,7200000.0,540.0,13333.33,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,16.0,23.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,shalimar garden extension 1 ghaziabad,28.6909104,77.3399141,8500000.0,1700.0,5000.0,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 7 dwarka new delhi,28.5592725,77.0666248,5100000.0,250.0,20400.0,Carpet Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office in it park/ sez,sale,pusta road noida,28.6123684,77.3964537,4900000.0,205.0,23902.44,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,1.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,alpha 1 greater noida,28.4710345,77.5127373,30500000.0,1800.0,16944.44,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,6.0,8.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,gautam budh nagar greater noida,28.4610024,77.4630568,50000000.0,10760.0,4646.84,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,166.0,65.0,12.0,24.0
shop,sale,sector 10 dwarka new delhi,28.5592725,77.0666248,11800000.0,200.0,59000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sehatpur faridabad,28.4031478,77.3105561,4200000.0,1800.0,2333.33,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,site 4 sahibabad industrial area ghaziabad,28.6539145,77.3271236,240000000.0,45210.0,5308.56,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,158.0,287.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,6000000.0,100.0,60000.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 29 rohini new delhi,28.7060837,77.1028753,82000000.0,2153.0,38086.39,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Residential,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 65 gurgaon,28.4030162,77.0695893,9500000.0,210.0,45238.1,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 46 gurgaon,28.4359133,77.0584045,72500000.0,810.0,89506.17,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,48.0,16.9,12.0,24.0
office space,sale,sector 4 vaishali ghaziabad,28.6537903,77.3475607,3500000.0,200.0,17500.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Main Road,Not Specified,NotSpecified,1.0,3.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,surajpur industrial area greater noida,28.5155969,77.5181775,4700000.0,149.0,31543.62,Carpet Area,Ready to Move,0.0,Not Specified,Furnished,Residential,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,1700000.0,80.0,21250.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,rohtak road new delhi,28.6560982,77.197362,262100000.0,3600.0,72805.56,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida express way noida,28.5706333,77.3272147,23500000.0,225.0,104444.44,Carpet Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,zamrudpur greater kailash new delhi,28.6328027,77.2197713,3800000.0,1000.0,3800.0,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,-1.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 81 faridabad,28.31551,77.3011467,4000000.0,400.0,10000.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
shop,sale,techzone 4 greater noida,28.5706333,77.3272147,8120000.0,203.0,40000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,17.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 90 noida,28.5122394,77.4142559,2600000.0,134.0,19402.99,Super Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,7.0,27.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,prithviraj road new delhi,28.6006687,77.2214443,40000000.0,410.0,97560.98,Super Area,Ready to Move,25.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 140a noida,28.5097759,77.4211609,8500000.0,268.0,31716.42,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,indirapuram ghaziabad,28.6423908,77.3684892,7000000.0,380.0,18421.05,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,loha mandi bulandshahr road industrial area ghaziabad,28.7749966,77.4586967,1400000.0,327.0,4281.35,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,5.0,9.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida extension greater noida,28.5706333,77.3272147,14000000.0,290.0,48275.86,Carpet Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 17 faridabad,28.4116048,77.3286833,2000000.0,85.0,23529.41,Super Area,Ready to Move,17.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,mathura road faridabad,28.3650553,77.314851,25000000.0,7200.0,3472.22,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,old faridabad faridabad,28.4234963,77.3240399,2400000.0,180.0,13333.33,Super Area,Ready to Move,25.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,anand vihar new delhi,28.5786334,77.1612059,7500000.0,1100.0,6818.18,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 90 noida,28.5122394,77.4142559,4000000.0,570.0,7017.54,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,16.0,27.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,phase 1 vivek vihar new delhi,28.6328027,77.2197713,7000000.0,200.0,35000.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,new friends colony new delhi,28.5607042,77.2536026,77400000.0,8000.0,9675.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,5.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,maya vihar new delhi,28.5546855,77.1224691,46000000.0,3480.0,13218.39,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,maya vihar new delhi,28.5546855,77.1224691,16500000.0,1350.0,12222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 55 noida,28.6043261,77.3480293,1500000.0,160.0,9375.0,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,3.0,10.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,nanak pura hari nagar new delhi,28.6328027,77.2197713,1350000.0,110.0,12272.73,Super Area,Ready to Move,12.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,10.0,24.0
shop,sale,sector 143 faridabad,28.3209245,77.2981096,6000000.0,264.0,22727.27,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,2.0,0,0,1.0,40.0,85.0,18.0,24.0
shop,sale,janakpuri new delhi,28.6210821,77.0911087,4500000.0,100.0,45000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 67 gurgaon,28.3864052,77.0598046,17500000.0,350.0,50000.0,Carpet Area,Ready to Move,7.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,2.0,0,0,1.0,40.0,85.0,25.0,24.0
